Episode,Seed,Sparsity,Total Steps,Reward,Completion Rate
408,335396,0.3,165,95.1751461,0.665
409,661615,0.3,122,82.25809762,0.822
410,686026,0.3,120,80.32992858,0.82
411,604676,0.3,104,69.5224219,0.804
412,878312,0.7,154,105.0056591,0.854
413,731450,0.5,136,62.10364437,0.436
414,821793,0.5,125,69.85858616,0.625
415,816235,0.5,167,96.08037722,0.667
416,562483,0.5,159,90.55247134,0.659
417,615438,0.3,172,99.61196458,0.672
418,298797,0.3,136,92.11857128,0.836
419,70232,0.5,135,91.28589243,0.835
420,503282,0.5,155,88.99462432,0.655
421,107971,0.7,113,63.27159277,0.613
422,744119,0.7,149,67.53089708,0.449
423,49176,0.3,125,55.65830442,0.425
424,654357,0.7,139,93.86959752,0.839
425,936936,0.5,114,50.53121953,0.414
426,558124,0.5,167,96.89395779,0.667
427,357923,0.3,123,68.37099594,0.623
428,302321,0.5,155,105.8477085,0.855
429,306458,0.5,151,86.77924901,0.651
430,541566,0.5,177,103.4640251,0.677
431,530197,0.5,120,66.95606959,0.62
432,491571,0.5,216,128.5939748,0.716
433,296354,0.5,123,68.56640559,0.623
434,20981,0.5,161,92.32557845,0.661
435,945238,0.3,132,74.49719524,0.632
436,491763,0.5,127,85.59850767,0.827
437,289170,0.7,76,41.31682763,0.576
438,620771,0.5,167,77.24602219,0.467
439,764276,0.7,151,86.42786711,0.651
440,68335,0.3,178,82.96837911,0.478
441,627495,0.7,160,109.5199303,0.86
442,855449,0.3,152,69.21686481,0.452
443,222330,0.7,125,84.19712371,0.825
444,559256,0.5,190,88.75988162,0.49
445,328775,0.7,141,80.34110826,0.641
446,731604,0.3,132,60.00499022,0.432
447,857174,0.7,112,74.88823059,0.812
448,96874,0.5,159,73.62783225,0.459
449,881787,0.5,162,92.81081322,0.662
450,662729,0.3,166,96.43038228,0.666
451,435072,0.7,149,101.5461096,0.849
452,547346,0.7,111,50.08602135,0.411
453,998255,0.5,174,79.81120452,0.474
454,606170,0.5,113,63.04693311,0.613
455,311044,0.7,139,78.3538245,0.639
456,422983,0.3,156,71.59944582,0.456
457,61291,0.7,154,104.26258,0.854
458,126786,0.3,114,50.76800467,0.414
